Frontend file,Line,Usage,Endpoint,Convex export exists,Mock behavior,Unsafe cast,Decision,Status,Notes
src/pages/admin/AdminHRPage.tsx,31,useMutation,hr.setBaseSalary,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminSettingsPage.tsx,36,useQuery,settings.getSystemSettings,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminSettingsPage.tsx,37,useMutation,settings.updateSystemSettings,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminSettingsPage.tsx,38,useQuery,users.getRolePermissions,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminSettingsPage.tsx,39,useMutation,users.saveRolePermissions,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminSettingsPage.tsx,40,useMutation,documents.migrateLegacySecurityBoundary,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminTemplatesPage.tsx,21,useQuery,templates.listTemplates,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminTemplatesPage.tsx,22,useMutation,templates.createTemplate,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminTemplatesPage.tsx,23,useMutation,templates.updateTemplate,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminTemplatesPage.tsx,24,useMutation,templates.deleteTemplate,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminTemplatesPage.tsx,25,useMutation,templates.seedTemplates,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminUsersPage.tsx,57,useQuery,users.listUsers,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminUsersPage.tsx,58,useMutation,users.updateUser,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminUsersPage.tsx,59,useMutation,users.createUser,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminUsersPage.tsx,60,useMutation,users.resendInvitation,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminUsersPage.tsx,61,useMutation,users.sendPasswordReset,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminUsersPage.tsx,62,useMutation,users.archiveUser,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminUsersPage.tsx,63,useMutation,users.bulkUpdateUsers,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminUsersPage.tsx,64,useMutation,users.revokeAllSessions,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminUsersPage.tsx,85,useQuery,users.getUserActivity,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminUsersPage.tsx,89,useQuery,users.listSessions,yes,heuristic match,no,migrate,inventoried,
src/pages/auth/AccountSetupPage.tsx,17,useMutation,users.activateAccount,yes,heuristic match,no,migrate,inventoried,
src/pages/auth/Callback.tsx,19,useMutation,users.updateCurrentUser,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientBillingPage.tsx,21,useQuery,clients.getMyClientRecord,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientBillingPage.tsx,23,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientBillingPage.tsx,24,useQuery,invoices.listInvoices,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientBillingPage.tsx,25,useQuery,invoices.listTrustTransactions,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientBillingPage.tsx,26,useQuery,timeEntries.listTimeEntries,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientBillingPage.tsx,27,useQuery,settings.getSystemSettings,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientBillingPage.tsx,29,useMutation,invoices.payInvoice,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientBillingPage.tsx,30,useMutation,invoices.initiateGatewayPayment,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientBookingPage.tsx,14,useQuery,clients.getMyClientRecord,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientBookingPage.tsx,17,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientBookingPage.tsx,29,useQuery,appointments.listAvailableSlots,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientBookingPage.tsx,34,useMutation,appointments.bookConsultation,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientBookingPage.tsx,36,useQuery,appointments.listClientAppointments,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientCasesPage.tsx,19,useQuery,clients.getMyClientRecord,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientCasesPage.tsx,21,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/pages/client/ClientCasesPage.tsx,22,useQuery,users.listStaffDirectory,yes,heuristic match,no,migrate,inventoried,
